  PERMNO        date            RET        vwretd        ewretd        sprtrn
   90319    20110103       0.017476      0.011205      0.012533      0.011315
   90319    20110104      -0.003690     -0.003888     -0.006753     -0.001313
   90319    20110105       0.011543      0.005374      0.007944      0.005007
   90319    20110106       0.007273     -0.002519     -0.001211     -0.002123
   90319    20110107       0.004792     -0.001946     -0.002848     -0.001845
   90319    20110110      -0.003618     -0.000718      0.002287     -0.001376
   90319    20110111       0.002931      0.005025      0.005963      0.003725
   90319    20110112       0.001396      0.009020      0.008259      0.009008
   90319    20110113      -0.000292     -0.001887     -0.000500     -0.001711
   90319    20110114       0.012145      0.006638      0.004736      0.007385
   90319    20110118       0.024752      0.002164      0.002518      0.001376
   90319    20110119      -0.012320     -0.012230     -0.016081     -0.010116
   90319    20110120      -0.007883     -0.003822     -0.007600     -0.001295
   90319    20110121      -0.023836      0.001269     -0.000137      0.002414
   90319    20110124      -0.001226      0.006285      0.006046      0.005836
   90319    20110125       0.014450     -0.000435     -0.001076      0.000263
   90319    20110126      -0.005501      0.007330      0.011708      0.004221
   90319    20110127       0.000470      0.002122      0.001653      0.002244
   90319    20110128      -0.025616     -0.017212     -0.017784     -0.017852
   90319    20110131      -0.001048      0.007620      0.005212      0.007663
   90319    20110201       0.017789      0.017011      0.014753      0.016694
   90319    20110202       0.001571     -0.002218     -0.000556     -0.002723
   90319    20110203      -0.003023      0.002926      0.001939      0.002354
   90319    20110204       0.001360      0.002168      0.001326      0.002884
   90319    20110207       0.005426      0.006122      0.006745      0.006240
   90319    20110208       0.006650      0.004562      0.003895      0.004185
   90319    20110209      -0.003040     -0.003430     -0.003610     -0.002786
   90319    20110210      -0.000097      0.001331      0.000472      0.000750
   90319    20110211       0.013075      0.006107      0.006629      0.005507
   90319    20110214       0.005845      0.003390      0.003197      0.002385
   90319    20110215      -0.006368     -0.003185     -0.003015     -0.003235
   90319    20110216       0.000112      0.007512      0.006352      0.006257
   90319    20110217       0.001666      0.003948      0.005617      0.003076
   90319    20110218       0.007709      0.001227      0.001088      0.001925
   90319    20110222      -0.031536     -0.021038     -0.020645     -0.020529
   90319    20110223       0.001819     -0.006545     -0.008481     -0.006112
   90319    20110224      -0.004090     -0.000131      0.002655     -0.000994
   90319    20110225       0.002004      0.012918      0.015057      0.010550
   90319    20110228       0.005508      0.005333      0.002853      0.005561
   90319    20110301      -0.020606     -0.014888     -0.011157     -0.015740
   90319    20110302       0.000050      0.002830      0.002967      0.001615
